p-value,FVC,FEV1,FEV1/FVC,FEF25-75%,ERV,RV (Pleth),TLC (Pleth)
TSLVi,1.1754e-01,4.6155e-01,3.6354e-01,8.8103e-01,8.9139e-01,6.4168e-01,9.6193e-02
TSLVe,8.0105e-01,6.3243e-01,8.3945e-02,2.1197e-01,5.2084e-01,1.6433e-01,9.8853e-03
EV,6.8816e-01,6.5869e-01,8.3730e-01,7.3130e-01,9.9953e-01,8.5616e-01,9.1750e-01
AT at 5 HU,2.1325e-01,9.4176e-02,1.8470e-01,7.9218e-02,3.9895e-01,9.5423e-02,2.0516e-02
AT at 25 HU,3.2047e-01,1.0810e-01,9.2899e-02,5.2330e-02,3.8610e-01,6.4378e-02,5.9982e-02
AT at 50 HU,4.1594e-01,1.1798e-01,3.8534e-02,3.0810e-02,3.2135e-01,4.5400e-02,9.4949e-02
AT at 75 HU,5.6539e-01,1.5921e-01,1.5583e-02,2.1340e-02,1.8761e-01,1.2101e-02,1.0976e-01
AT at 100 HU,8.3953e-01,3.2638e-01,3.4910e-02,6.8713e-02,1.7529e-01,1.5054e-02,1.4064e-01
AT at 125 HU,8.7960e-01,5.5069e-01,6.9783e-02,1.6000e-01,2.0223e-01,3.4261e-02,1.4898e-01
AT at 150 HU,6.3164e-01,7.8413e-01,1.0474e-01,2.7102e-01,2.4475e-01,6.8584e-02,1.2368e-01
AT at 175 HU,4.7689e-01,9.5717e-01,1.3650e-01,3.6917e-01,2.9260e-01,1.1305e-01,1.0623e-01
AT at 200 HU,3.8188e-01,9.1975e-01,1.6584e-01,4.5085e-01,3.3974e-01,1.6110e-01,9.9150e-02
AT at 225 HU,3.2157e-01,8.3182e-01,1.9209e-01,5.1696e-01,3.8269e-01,2.0757e-01,9.8247e-02
AT at 250 HU,2.8180e-01,7.6795e-01,2.1523e-01,5.7001e-01,4.1988e-01,2.4936e-01,1.0060e-01
AT at 275 HU,2.5521e-01,7.2194e-01,2.3459e-01,6.1124e-01,4.5015e-01,2.8431e-01,1.0429e-01
AT at 300 HU,2.3590e-01,6.8654e-01,2.5132e-01,6.4482e-01,4.7534e-01,3.1389e-01,1.0830e-01
EV + AT at 5 HU,5.9064e-01,4.6251e-01,4.6509e-01,3.9602e-01,6.3646e-01,5.2413e-01,2.8180e-01
EV + AT at 25 HU,3.5089e-01,1.3044e-01,1.0631e-01,6.6225e-02,3.9290e-01,7.9872e-02,6.2215e-02
EV + AT at 50 HU,4.2766e-01,1.2618e-01,4.1701e-02,3.4536e-02,3.2335e-01,4.9610e-02,9.5240e-02
EV + AT at 75 HU,5.7541e-01,1.6586e-01,1.6589e-02,2.3210e-02,1.8696e-01,1.3150e-02,1.0748e-01
EV + AT at 100 HU,8.5143e-01,3.3422e-01,3.5052e-02,7.0579e-02,1.7034e-01,1.3840e-02,1.3363e-01
EV + AT at 125 HU,8.6428e-01,5.6196e-01,6.9348e-02,1.6273e-01,1.9407e-01,3.0853e-02,1.3832e-01
EV + AT at 150 HU,6.1530e-01,7.9999e-01,1.0576e-01,2.7733e-01,2.3701e-01,6.5575e-02,1.1326e-01
EV + AT at 175 HU,4.6226e-01,9.7497e-01,1.3955e-01,3.7888e-01,2.8698e-01,1.1241e-01,9.7759e-02
EV + AT at 200 HU,3.6953e-01,9.0177e-01,1.7075e-01,4.6295e-01,3.3646e-01,1.6341e-01,9.2849e-02
EV + AT at 225 HU,3.1126e-01,8.1445e-01,1.9853e-01,5.3060e-01,3.8146e-01,2.1262e-01,9.3923e-02
EV + AT at 250 HU,2.7312e-01,7.5144e-01,2.2288e-01,5.8457e-01,4.2021e-01,2.5663e-01,9.7934e-02
EV + AT at 275 HU,2.4776e-01,7.0626e-01,2.4315e-01,6.2633e-01,4.5160e-01,2.9321e-01,1.0293e-01
EV + AT at 300 HU,2.2941e-01,6.7162e-01,2.6060e-01,6.6024e-01,4.7763e-01,3.2404e-01,1.0802e-01
Calculated FVC,5.1691e-02,5.9756e-02,5.4695e-01,1.9342e-01,4.2057e-01,2.0052e-01,7.5389e-01
