correlation,FVC,FEV1,FEV1/FVC,FEF25-75%,ERV,RV (Pleth),TLC (Pleth)
TSLVi,3.0153e-01,-2.4498e-01,-6.8637e-01,-4.2735e-01,9.0602e-01,4.0903e-01,8.4813e-01
TSLVe,1.2444e-01,-3.8613e-01,-6.7493e-01,-4.8560e-01,8.3091e-01,5.3276e-01,8.8114e-01
EV,1.4457e-01,-2.0321e-01,-4.5766e-01,-2.2556e-01,5.9518e-01,2.4381e-02,4.3640e-01
AT at 5 HU,-1.0170e-01,-5.0624e-01,-5.9426e-01,-4.5170e-01,6.4908e-01,6.8002e-01,8.7437e-01
AT at 25 HU,1.9068e-01,-2.9117e-01,-6.3690e-01,-3.6868e-01,8.6713e-01,5.8865e-01,9.4918e-01
AT at 50 HU,4.1945e-01,-5.8796e-02,-5.8117e-01,-2.4797e-01,9.3311e-01,4.1501e-01,8.8155e-01
AT at 75 HU,5.2692e-01,6.3929e-02,-5.4173e-01,-1.9285e-01,9.3133e-01,3.1125e-01,8.2199e-01
AT at 100 HU,5.7051e-01,1.2486e-01,-5.0855e-01,-1.5364e-01,9.2237e-01,2.6178e-01,7.8535e-01
AT at 125 HU,5.8837e-01,1.5579e-01,-4.8504e-01,-1.2615e-01,9.1697e-01,2.3996e-01,7.6600e-01
AT at 150 HU,5.9678e-01,1.7387e-01,-4.6831e-01,-1.0654e-01,9.1386e-01,2.2868e-01,7.5478e-01
AT at 175 HU,6.0160e-01,1.8580e-01,-4.5630e-01,-9.2397e-02,9.1178e-01,2.2169e-01,7.4756e-01
AT at 200 HU,6.0447e-01,1.9389e-01,-4.4759e-01,-8.2206e-02,9.1027e-01,2.1714e-01,7.4267e-01
AT at 225 HU,6.0643e-01,1.9948e-01,-4.4155e-01,-7.5146e-02,9.0934e-01,2.1397e-01,7.3933e-01
AT at 250 HU,6.0770e-01,2.0334e-01,-4.3726e-01,-7.0134e-02,9.0868e-01,2.1185e-01,7.3706e-01
AT at 275 HU,6.0849e-01,2.0601e-01,-4.3415e-01,-6.6529e-02,9.0821e-01,2.1047e-01,7.3550e-01
AT at 300 HU,6.0898e-01,2.0782e-01,-4.3197e-01,-6.4006e-02,9.0782e-01,2.0957e-01,7.3445e-01
EV + AT at 5 HU,8.1016e-02,-3.2377e-01,-5.5269e-01,-3.2375e-01,7.2054e-01,3.1323e-01,7.0133e-01
EV + AT at 25 HU,2.0987e-01,-3.1291e-01,-6.9014e-01,-3.8254e-01,9.1342e-01,5.0436e-01,9.3430e-01
EV + AT at 50 HU,4.1401e-01,-1.2886e-01,-6.7326e-01,-2.9899e-01,9.6723e-01,3.6861e-01,8.8152e-01
EV + AT at 75 HU,5.1740e-01,-2.7078e-02,-6.5772e-01,-2.5963e-01,9.6270e-01,2.7542e-01,8.2609e-01
EV + AT at 100 HU,5.6046e-01,2.3485e-02,-6.3843e-01,-2.2974e-01,9.5114e-01,2.3035e-01,7.9057e-01
EV + AT at 125 HU,5.7788e-01,4.8740e-02,-6.2253e-01,-2.0791e-01,9.4314e-01,2.1007e-01,7.7086e-01
EV + AT at 150 HU,5.8596e-01,6.3194e-02,-6.1068e-01,-1.9216e-01,9.3811e-01,1.9943e-01,7.5916e-01
EV + AT at 175 HU,5.9057e-01,7.2649e-02,-6.0201e-01,-1.8074e-01,9.3479e-01,1.9282e-01,7.5166e-01
EV + AT at 200 HU,5.9335e-01,7.9029e-02,-5.9569e-01,-1.7251e-01,9.3250e-01,1.8853e-01,7.4662e-01
EV + AT at 225 HU,5.9523e-01,8.3430e-02,-5.9130e-01,-1.6680e-01,9.3102e-01,1.8556e-01,7.4320e-01
EV + AT at 250 HU,5.9645e-01,8.6466e-02,-5.8816e-01,-1.6275e-01,9.3000e-01,1.8358e-01,7.4088e-01
EV + AT at 275 HU,5.9723e-01,8.8558e-02,-5.8588e-01,-1.5983e-01,9.2928e-01,1.8227e-01,7.3929e-01
EV + AT at 300 HU,5.9771e-01,8.9987e-02,-5.8426e-01,-1.5777e-01,9.2876e-01,1.8143e-01,7.3823e-01
Calculated FVC,5.2814e-01,6.4595e-01,2.7506e-01,4.1786e-01,-6.4501e-02,-6.3966e-01,-4.6055e-01
